slot_index,q_max,q_allotted,q_used,q_wasted,enqueues,dequeues,drops
754000,15000,15000,0,15000,0,0,0
755000,15000,15000,0,15000,1,1,0
756000,15000,15000,0,15000,1,1,0
757000,15000,15000,0,15000,0,0,0
758000,15000,15000,0,15000,1,1,0
759000,15000,15000,0,15000,0,0,0
760000,15000,15000,0,15000,0,0,0
761000,15000,15000,0,15000,1,1,0
762000,15000,15000,0,15000,1,1,0
763000,15000,15000,0,15000,2,2,0
764000,15000,15000,0,15000,0,0,0
765000,15000,15000,0,15000,1,1,0
766000,15000,15000,0,15000,1,1,0
767000,15000,15000,0,15000,1,1,0
768000,15000,15000,0,15000,0,0,0
769000,15000,15000,0,15000,1,1,0
770000,15000,15000,0,15000,0,0,0
771000,15000,15000,0,15000,3,3,0
772000,15000,15000,0,15000,3,3,0
773000,15000,15000,0,15000,2,2,0
774000,15000,15000,0,15000,1,1,0
775000,15000,15000,0,15000,1,1,0
776000,15000,15000,0,15000,0,0,0
777000,15000,15000,1,14999,2,1,0
778000,15000,15000,0,15000,0,1,0
779000,15000,15000,0,15000,2,2,0
780000,15000,15000,0,15000,1,1,0
781000,15000,15000,0,15000,0,0,0
782000,15000,15000,0,15000,1,1,0
783000,15000,15000,0,15000,0,0,0
784000,15000,15000,0,15000,1,1,0
785000,15000,15000,0,15000,2,2,0
786000,15000,15000,0,15000,2,2,0
787000,15000,15000,0,15000,1,1,0
788000,15000,15000,0,15000,0,0,0
789000,15000,15000,0,15000,0,0,0
790000,15000,15000,0,15000,0,0,0
791000,15000,15000,0,15000,0,0,0
792000,15000,15000,0,15000,1,1,0
793000,15000,15000,0,15000,0,0,0
794000,15000,15000,1,14999,2,1,0
795000,15000,15000,0,15000,2,3,0
796000,15000,15000,0,15000,3,3,0
797000,15000,15000,0,15000,1,1,0
798000,15000,15000,0,15000,0,0,0
799000,15000,15000,0,15000,0,0,0
800000,15000,15000,0,15000,2,2,0
801000,15000,15000,0,15000,0,0,0
802000,15000,15000,0,15000,0,0,0
803000,15000,15000,0,15000,1,1,0
804000,15000,15000,0,15000,2,2,0
805000,15000,15000,0,15000,0,0,0
806000,15000,15000,0,15000,1,1,0
807000,15000,15000,0,15000,0,0,0
808000,15000,15000,0,15000,1,1,0
809000,15000,15000,0,15000,3,3,0
810000,15000,15000,0,15000,1,1,0
811000,15000,15000,0,15000,1,1,0
812000,15000,15000,0,15000,2,2,0
813000,15000,15000,0,15000,0,0,0
814000,15000,15000,0,15000,0,0,0
815000,15000,15000,0,15000,1,1,0
816000,15000,15000,0,15000,0,0,0
817000,15000,15000,0,15000,1,1,0
818000,15000,15000,0,15000,1,1,0
819000,15000,15000,0,15000,0,0,0
820000,15000,15000,0,15000,1,1,0
821000,15000,15000,0,15000,1,1,0
822000,15000,15000,0,15000,1,1,0
823000,15000,15000,0,15000,2,2,0
824000,15000,15000,0,15000,2,2,0
825000,15000,15000,0,15000,2,2,0
826000,15000,15000,0,15000,3,3,0
827000,15000,15000,0,15000,1,1,0
828000,15000,15000,0,15000,0,0,0
829000,15000,15000,0,15000,0,0,0
830000,15000,15000,0,15000,1,1,0
831000,15000,15000,0,15000,2,2,0
832000,15000,15000,0,15000,1,1,0
833000,15000,15000,0,15000,0,0,0
834000,15000,15000,0,15000,0,0,0
835000,15000,15000,0,15000,1,1,0
836000,15000,15000,0,15000,0,0,0
837000,15000,15000,0,15000,0,0,0
838000,15000,15000,0,15000,1,1,0
839000,15000,15000,0,15000,0,0,0
840000,15000,15000,0,15000,0,0,0
841000,15000,15000,0,15000,0,0,0
842000,15000,15000,0,15000,0,0,0
843000,15000,15000,0,15000,1,1,0
844000,15000,15000,0,15000,1,1,0
845000,15000,15000,0,15000,0,0,0
846000,15000,15000,0,15000,2,2,0
847000,15000,15000,0,15000,1,1,0
848000,15000,15000,0,15000,1,1,0
849000,15000,15000,0,15000,1,1,0
850000,15000,15000,0,15000,0,0,0
851000,15000,15000,0,15000,0,0,0
852000,15000,15000,0,15000,1,1,0
853000,15000,15000,0,15000,0,0,0
854000,15000,15000,0,15000,0,0,0
855000,15000,15000,0,15000,0,0,0
856000,15000,15000,0,15000,1,1,0
857000,15000,15000,0,15000,0,0,0
858000,15000,15000,0,15000,2,2,0
859000,15000,15000,0,15000,0,0,0
860000,15000,15000,0,15000,0,0,0
861000,15000,15000,0,15000,0,0,0
